calories,carbs,category,fat,nutrition,protein,rating,reviewCount,source,title,url
641,47.0,Lunch,41.0,"{'@type': 'NutritionInformation', 'calories': '641 calories', 'fatContent': '41 grams fat', 'saturatedFatContent': '19 grams saturated fat', 'carbohydrateContent': '47 grams carbohydrates', 'sugarContent': '14 grams sugar', 'fiberContent': '4 grams fiber', 'proteinContent': '19 grams protein', 'sodiumContent': '2.2 milligram of sodium'}",19.0,0.1,0.1,bbcgoodfood,"Tahini, feta & honey toastie",https://www.bbcgoodfood.com/recipes/tahini-feta-honey-toastie
672,74.0,"Afternoon tea, Lunch, Snack",29.0,"{'@type': 'NutritionInformation', 'calories': '672 calories', 'fatContent': '29 grams fat', 'saturatedFatContent': '3 grams saturated fat', 'carbohydrateContent': '74 grams carbohydrates', 'sugarContent': '20 grams sugar', 'fiberContent': '4 grams fiber', 'proteinContent': '26 grams protein', 'sodiumContent': '2.4 milligram of sodium'}",26.0,0.1,0.1,bbcgoodfood,Katsu sandos,https://www.bbcgoodfood.com/recipes/katsu-sandos
552,58.0,Lunch,25.0,"{'@type': 'NutritionInformation', 'calories': '552 calories', 'fatContent': '25 grams fat', 'saturatedFatContent': '8 grams saturated fat', 'carbohydrateContent': '58 grams carbohydrates', 'sugarContent': '1 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '22 grams protein', 'sodiumContent': '0.9 milligram of sodium'}",22.0,0.1,0.1,bbcgoodfood,Panuozzo sandwich,https://www.bbcgoodfood.com/recipes/panuozzo-sandwich
535,37.0,Lunch,31.0,"{'@type': 'NutritionInformation', 'calories': '535 calories', 'fatContent': '31 grams fat', 'saturatedFatContent': '18 grams saturated fat', 'carbohydrateContent': '37 grams carbohydrates', 'sugarContent': '4 grams sugar', 'fiberContent': '2 grams fiber', 'proteinContent': '26 grams protein', 'sodiumContent': '3.2 milligram of sodium'}",26.0,0.1,0.1,bbcgoodfood,Tomato & mozzarella toastie,https://www.bbcgoodfood.com/recipes/tomato-mozzarella-toastie
74,14.0,Dessert,1.0,"{'@type': 'NutritionInformation', 'calories': '74 calories', 'fatContent': '1 grams fat', 'saturatedFatContent': '0.3 grams saturated fat', 'carbohydrateContent': '14 grams carbohydrates', 'sugarContent': '5 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '1 grams protein', 'sodiumContent': '0.01 milligram of sodium'}",1.0,0.1,0.1,bbcgoodfood,Plantain puffs,https://www.bbcgoodfood.com/recipes/plantain-puffs
538,38.0,Dessert,39.0,"{'@type': 'NutritionInformation', 'calories': '538 calories', 'fatContent': '39 grams fat', 'saturatedFatContent': '22 grams saturated fat', 'carbohydrateContent': '38 grams carbohydrates', 'sugarContent': '31 grams sugar', 'fiberContent': '2 grams fiber', 'proteinContent': '2 grams protein', 'sodiumContent': '0.2 milligram of sodium'}",2.0,0.1,0.1,bbcgoodfood,Chocolate trifle,https://www.bbcgoodfood.com/recipes/boozy-brownie-trifle
416,28.0,Dessert,31.0,"{'@type': 'NutritionInformation', 'calories': '416 calories', 'fatContent': '31 grams fat', 'saturatedFatContent': '19 grams saturated fat', 'carbohydrateContent': '28 grams carbohydrates', 'sugarContent': '26 grams sugar', 'fiberContent': '2 grams fiber', 'proteinContent': '4 grams protein', 'sodiumContent': '0.1 milligram of sodium'}",4.0,0.1,0.1,bbcgoodfood,Raspberry & dark chocolate cheat's ice cream terrine,https://www.bbcgoodfood.com/recipes/raspberry-dark-chocolate-cheats-ice-cream-terrine
312,44.0,"Afternoon tea, Dessert",12.0,"{'@type': 'NutritionInformation', 'calories': '312 calories', 'fatContent': '12 grams fat', 'saturatedFatContent': '7 grams saturated fat', 'carbohydrateContent': '44 grams carbohydrates', 'sugarContent': '13 grams sugar', 'fiberContent': '2 grams fiber', 'proteinContent': '6 grams protein', 'sodiumContent': '0.58 milligram of sodium'}",6.0,0.1,0.1,bbcgoodfood,Raspberry & white chocolate scones,https://www.bbcgoodfood.com/recipes/raspberry-white-chocolate-scones
617,77.0,"Dinner, Lunch, Supper",18.0,"{'@type': 'NutritionInformation', 'calories': '617 calories', 'fatContent': '18 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '77 grams carbohydrates', 'sugarContent': '18 grams sugar', 'fiberContent': '9 grams fiber', 'proteinContent': '32 grams protein', 'sodiumContent': '4 milligram of sodium'}",32.0,0.1,0.1,bbcgoodfood,Prawn & beansprout omelette baguette,https://www.bbcgoodfood.com/recipes/prawn-beansprout-omelette-baguette
613,44.0,"Afternoon tea, Lunch",31.0,"{'@type': 'NutritionInformation', 'calories': '613 calories', 'fatContent': '31 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '44 grams carbohydrates', 'sugarContent': '3 grams sugar', 'fiberContent': '6 grams fiber', 'proteinContent': '36 grams protein', 'sodiumContent': '0.6 milligram of sodium'}",36.0,0.1,0.1,bbcgoodfood,Crispy chicken & smashed avocado baps,https://www.bbcgoodfood.com/recipes/crispy-chicken-smashed-avocado-baps
455,60.0,"Afternoon tea, Buffet, Snack, Treat",22.0,"{'@type': 'NutritionInformation', 'calories': '455 calories', 'fatContent': '22 grams fat', 'saturatedFatContent': '12 grams saturated fat', 'carbohydrateContent': '60 grams carbohydrates', 'sugarContent': '36 grams sugar', 'fiberContent': '4 grams fiber', 'proteinContent': '7 grams protein', 'sodiumContent': '0.12 milligram of sodium'}",7.0,0.1,0.1,bbcgoodfood,Golden orange & walnut flapjacks,https://www.bbcgoodfood.com/recipes/golden-orange-walnut-flapjacks
319,22.0,"Breakfast, Brunch, Dessert",23.0,"{'@type': 'NutritionInformation', 'calories': '319 calories', 'fatContent': '23 grams fat', 'saturatedFatContent': '15 grams saturated fat', 'carbohydrateContent': '22 grams carbohydrates', 'sugarContent': '16 grams sugar', 'proteinContent': '4 grams protein', 'sodiumContent': '0.1 milligram of sodium'}",4.0,0.1,0.1,bbcgoodfood,Lemon drizzle mille crêpe cake,https://www.bbcgoodfood.com/recipes/lemon-drizzle-mille-crepe-cake
381,26.0,Dessert,28.0,"{'@type': 'NutritionInformation', 'calories': '381 calories', 'fatContent': '28 grams fat', 'saturatedFatContent': '18 grams saturated fat', 'carbohydrateContent': '26 grams carbohydrates', 'sugarContent': '11 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '4 grams protein', 'sodiumContent': '0.5 milligram of sodium'}",4.0,0.1,0.1,bbcgoodfood,Easy chocolate tart,https://www.bbcgoodfood.com/recipes/easy-chocolate-tart
